"English Sentence","Arabic Translation"
"How are you?","كيف حالك؟"
"Good morning.","صباح الخير."
"Good night.","تصبح على خير."
"Thank you.","شكراً لك."
"You're welcome.","على الرحب والسعة."
"Excuse me.",عذراً.
"I'm sorry.","أنا آسف."
"Yes, please.","نعم، من فضلك."
"No, thank you.","لا، شكراً."
"What's your name?","ما اسمك؟"
"My name is [Your Name].","اسمي [اسمك]."
"Where are you from?","من أين أنت؟"
"I'm from [Your Country].","أنا من [بلدك]."
"How old are you?","كم عمرك؟"
"I'm [Your Age] years old.","عمري [عمرك] سنة."
"Do you speak English?","هل تتحدث الإنجليزية؟"
"Please help me.","من فضلك، ساعدني."
"I don't understand.","لا أفهم."
"Can you repeat that?","هل يمكنك تكرار ذلك؟"
"What time is it?","كم الساعة؟"
"It's [Time].","الساعة [الوقت]."
"Where is the bathroom?","أين الحمام؟"
"I'm hungry.","أنا جائع."
"I'm thirsty.","أنا عطشان."
"How much does this cost?","كم سعر هذا؟"
"I need a doctor.","أحتاج إلى طبيب."
"Call the police.","اتصل بالشرطة."
"I'm lost.","أنا ضائع."
"Where do you live?","أين تسكن؟"
"I live in [City].","أسكن في [اسم المدينة بقا]."
"Can you help ?","هل يمكنك مساعدتي؟"
"hi ","أهلا "
"Can you help ?","هل يمكنك مساعدتي؟"
